1,2,1
1,17,2
1,19,1
1,12,2
1,5,2
1,20,1
1,1,1
1,14,2
1,12,2
1,2,2
1,12,2
1,19,1
1,2,2
1,9,2
1,13,2
1,15,2
1,9,2
1,18,1
1,6,1
1,5,2
1,5,2
1,4,1
1,6,1
1,8,1
1,6,1
1,13,2
1,5,2
1,1,1
1,8,1
1,17,2
1,8,1
1,5,2
1,8,1
1,11,2
1,20,2
1,8,1
1,19,1
1,18,1
1,19,1
1,7,2
1,6,2
1,8,2
1,14,2
1,15,2
1,5,2
1,16,1
1,11,2
1,15,2
1,8,2
1,16,1
1,1,2
1,17,2
1,1,2
2,4,1
2,16,1
2,11,1
2,7,1
2,1,1
2,18,1
2,20,1
2,2,1
2,12,1
2,6,1
2,4,1
2,3,1
2,1,1
2,7,1
2,12,1
2,14,2
2,4,1
2,5,1
2,6,1
2,17,2
2,8,1
2,5,1
2,17,2
2,12,2
2,9,2
2,7,2
2,4,1
2,13,2
2,19,1
2,13,2
2,15,2
2,9,2
2,12,2
2,9,2
2,11,2
2,8,2
2,14,2
2,4,2
2,14,2
2,19,1
2,18,1
2,12,2
2,3,2
2,7,2
2,8,2
2,10,2
2,9,2
2,3,2
2,7,2
2,9,2
2,16,1
2,12,2
2,3,2
3,13,1
3,15,2
3,1,1
3,3,1
3,13,1
3,13,1
3,17,2
3,4,1
3,20,1
3,9,2
3,15,2
3,11,2
3,4,1
3,19,1
3,4,1
3,3,2
3,18,1
3,14,2
3,6,2
3,5,2
3,5,2
3,6,2
3,8,1
3,11,2
3,7,2
3,10,1
3,12,2
3,6,2
3,6,2
3,4,1
3,3,2
3,1,1
3,19,1
3,3,2
3,3,2
3,7,2
3,10,2
3,19,1
3,5,2
3,1,2
3,14,2
3,12,2
3,2,2
3,17,2
3,9,2
3,9,2
3,1,2
3,20,2
3,7,2
3,9,2
3,15,2
3,17,2
3,12,2
3,2,2
3,11,2
3,11,2
3,18,1
3,15,2
3,19,1
3,8,2
3,17,2
3,12,2
3,11,2
3,9,2
3,14,2
3,6,2
3,15,2
3,15,2
3,14,2
3,6,2
3,2,2
3,18,1
3,12,2
4,2,1
4,17,2
4,9,1
4,8,1
4,13,2
4,1,1
4,20,1
4,13,2
4,3,1
4,13,2
4,14,2
4,1,1
4,11,2
4,10,1
4,9,2
4,3,1
4,7,2
4,4,1
4,14,2
4,2,2
4,6,1
4,11,2
4,3,2
4,7,2
4,20,2
4,9,2
4,12,2
4,15,2
4,4,2
4,17,2
4,9,2
4,16,1
4,6,2
4,8,2
4,14,2
4,6,2
4,6,2
4,20,2
4,10,2
4,4,2
4,6,2
4,16,1
4,3,2
4,10,2
4,19,1
4,18,1
4,11,2
4,12,2
4,12,2
4,10,2
4,5,2
4,1,2
5,15,1
5,16,1
5,3,1
5,5,1
5,10,1
5,20,1
5,16,1
5,15,2
5,18,1
5,19,2
5,7,2
5,7,2
5,3,1
5,15,2
5,8,2
5,2,1
5,5,1
5,20,2
5,11,1
5,13,2
5,9,2
5,12,2
5,4,2
5,18,1
5,3,2
5,2,2
5,14,2
5,10,2
5,10,2
5,20,2
5,1,2
5,2,2
5,19,2
5,16,2
5,4,2
5,6,2
5,12,2
5,7,2
5,16,2
5,16,2
5,13,2
5,12,2
5,1,2
6,13,1
6,3,1
6,20,1
6,13,2
6,12,2
6,8,2
6,13,2
6,18,1
6,18,1
6,9,2
6,11,2
6,7,2
6,2,2
6,14,2
6,2,2
6,15,2
6,16,1
6,11,2
6,2,2
6,3,2
6,20,2
6,9,2
6,8,2
6,6,2
6,5,2
6,12,2
6,7,2
6,16,1
6,5,2
6,3,2
6,2,2
6,9,2
6,15,2
6,19,2
6,18,2
